seed,region,class_id,class_name,precision,recall,f1_score,support
11,full_body_both_mice,0,attack,0.7016460905349794,0.8525,0.7697516930022573,2000
11,full_body_both_mice,1,investigation,0.7747858017135862,0.633,0.6967528893780958,2000
11,full_body_both_mice,2,mount,0.9476843910806175,0.8969155844155844,0.9216013344453712,1232
11,full_body_both_mice,3,other,0.8886113886113887,0.8895,0.889055472263868,2000
11,head_neck_both_mice,0,attack,0.7556253270538985,0.722,0.7384300690360521,2000
11,head_neck_both_mice,1,investigation,0.6685344827586207,0.7755,0.7180555555555556,2000
11,head_neck_both_mice,2,mount,0.9482926829268292,0.788961038961039,0.8613203367301728,1232
11,head_neck_both_mice,3,other,0.8603238866396761,0.85,0.8551307847082495,2000
11,head_only_both_mice,0,attack,0.7468714448236633,0.6565,0.6987759446514104,2000
11,head_only_both_mice,1,investigation,0.6411812297734628,0.7925,0.7088550983899821,2000
11,head_only_both_mice,2,mount,0.8949308755760369,0.7881493506493507,0.8381527837721191,1232
11,head_only_both_mice,3,other,0.872717788210746,0.8365,0.8542251723257596,2000
11,no_tail_both_mice,0,attack,0.7747603833865815,0.7275,0.7503867973182052,2000
11,no_tail_both_mice,1,investigation,0.7116122840690979,0.7415,0.7262487757100882,2000
11,no_tail_both_mice,2,mount,0.9043693322341303,0.890422077922078,0.8973415132924335,1232
11,no_tail_both_mice,3,other,0.8740884783665532,0.899,0.8863692383534632,2000
11,trunk_tail_both_mice,0,attack,0.7508305647840532,0.791,0.7703920136352569,2000
11,trunk_tail_both_mice,1,investigation,0.7315618221258134,0.6745,0.7018730489073881,2000
11,trunk_tail_both_mice,2,mount,0.8676122931442081,0.8936688311688312,0.8804478208716513,1232
11,trunk_tail_both_mice,3,other,0.8792246520874751,0.8845,0.8818544366899302,2000
11,hips_tail_both_mice,0,attack,0.7636191378493605,0.806,0.7842374118219412,2000
11,hips_tail_both_mice,1,investigation,0.6998610467809171,0.7555,0.7266169752344314,2000
11,hips_tail_both_mice,2,mount,0.9201793721973094,0.8327922077922078,0.8743076267575628,1232
11,hips_tail_both_mice,3,other,0.8927991337303736,0.8245,0.8572913958929036,2000
11,hips_only_both_mice,0,attack,0.8058252427184466,0.664,0.7280701754385965,2000
11,hips_only_both_mice,1,investigation,0.6591986212839294,0.765,0.7081694052302707,2000
11,hips_only_both_mice,2,mount,0.8982338099243061,0.8668831168831169,0.8822800495662949,1232
11,hips_only_both_mice,3,other,0.8351012536162006,0.866,0.8502700049091801,2000
11,neck_only_both_mice,0,attack,0.7729636048526863,0.669,0.7172339855266685,2000
11,neck_only_both_mice,1,investigation,0.5199349064279902,0.639,0.5733512786002691,2000
11,neck_only_both_mice,2,mount,0.663891779396462,0.5178571428571429,0.5818513451892385,1232
11,neck_only_both_mice,3,other,0.7113352545629202,0.7405,0.72562469377756,2000
11,tail_base_only_both_mice,0,attack,0.7721291866028708,0.6455,0.7031590413943355,2000
11,tail_base_only_both_mice,1,investigation,0.555858310626703,0.51,0.5319426336375489,2000
11,tail_base_only_both_mice,2,mount,0.6464585834333734,0.8741883116883117,0.7432712215320911,1232
11,tail_base_only_both_mice,3,other,0.6386595434677028,0.6575,0.6479428430647943,2000
11,resident_only_full_body,0,attack,0.776844070961718,0.832,0.803476581361661,2000
11,resident_only_full_body,1,investigation,0.6163410301953819,0.5205,0.5643805909460559,2000
11,resident_only_full_body,2,mount,0.5705944798301487,0.872564935064935,0.689987163029525,1232
11,resident_only_full_body,3,other,0.7712590639419907,0.585,0.665339778220074,2000
11,intruder_only_full_body,0,attack,0.7332993370729219,0.719,0.7260792729108811,2000
11,intruder_only_full_body,1,investigation,0.5346960731576116,0.497,0.5151593677118425,2000
11,intruder_only_full_body,2,mount,0.5715071507150715,0.8433441558441559,0.681311475409836,1232
11,intruder_only_full_body,3,other,0.6179422835633626,0.4925,0.5481357818586533,2000
22,full_body_both_mice,0,attack,0.5932773109243697,0.6660377358490566,0.6275555555555555,1060
22,full_body_both_mice,1,investigation,0.7361256544502618,0.703,0.7191815856777494,2000
22,full_body_both_mice,2,mount,0.9458997722095672,0.8305,0.8844515441959532,2000
22,full_body_both_mice,3,other,0.8298548094373865,0.9145,0.8701236917221694,2000
22,head_neck_both_mice,0,attack,0.6647342995169082,0.6490566037735849,0.6568019093078759,1060
22,head_neck_both_mice,1,investigation,0.7021857923497268,0.771,0.7349857006673022,2000
22,head_neck_both_mice,2,mount,0.9190848214285714,0.8235,0.8686708860759493,2000
22,head_neck_both_mice,3,other,0.8468335787923417,0.8625,0.8545949962843696,2000
22,head_only_both_mice,0,attack,0.6706204379562044,0.6933962264150944,0.6818181818181818,1060
22,head_only_both_mice,1,investigation,0.7221189591078067,0.777,0.7485549132947977,2000
22,head_only_both_mice,2,mount,0.90134994807892,0.868,0.8843606724401426,2000
22,head_only_both_mice,3,other,0.8891834570519618,0.8385,0.863098301595471,2000
22,no_tail_both_mice,0,attack,0.6020128087831657,0.620754716981132,0.6112401300510915,1060
22,no_tail_both_mice,1,investigation,0.7193923145665773,0.805,0.7597923548843795,2000
22,no_tail_both_mice,2,mount,0.9122902003248511,0.8425,0.8760072783987523,2000
22,no_tail_both_mice,3,other,0.9176408076514346,0.8635,0.889747552807831,2000
22,trunk_tail_both_mice,0,attack,0.5211665098777046,0.5226415094339623,0.5219029674988224,1060
22,trunk_tail_both_mice,1,investigation,0.6410852713178294,0.827,0.7222707423580786,2000
22,trunk_tail_both_mice,2,mount,0.8791615289765722,0.713,0.7874102705687466,2000
22,trunk_tail_both_mice,3,other,0.9236768802228412,0.829,0.8737812911725955,2000
22,hips_tail_both_mice,0,attack,0.5982490272373541,0.5801886792452831,0.5890804597701149,1060
22,hips_tail_both_mice,1,investigation,0.6663789382822616,0.772,0.7153115589529766,2000
22,hips_tail_both_mice,2,mount,0.9045401629802096,0.777,0.835933297471759,2000
22,hips_tail_both_mice,3,other,0.8657986980470707,0.8645,0.8651488616462347,2000
22,hips_only_both_mice,0,attack,0.6228323699421965,0.4066037735849057,0.4920091324200913,1060
22,hips_only_both_mice,1,investigation,0.6512455516014235,0.8235,0.7273128725988077,2000
22,hips_only_both_mice,2,mount,0.8803589232303091,0.883,0.8816774837743385,2000
22,hips_only_both_mice,3,other,0.8968903436988543,0.822,0.8578137229324289,2000
22,neck_only_both_mice,0,attack,0.5908667287977633,0.5981132075471698,0.5944678856071262,1060
22,neck_only_both_mice,1,investigation,0.5592272496187087,0.55,0.5545752457776657,2000
22,neck_only_both_mice,2,mount,0.772394366197183,0.6855,0.7263576158940397,2000
22,neck_only_both_mice,3,other,0.6944320712694878,0.7795,0.7345111896348645,2000
22,tail_base_only_both_mice,0,attack,0.5057565789473685,0.5801886792452831,0.5404217926186292,1060
22,tail_base_only_both_mice,1,investigation,0.48184019370460046,0.4975,0.48954489544895446,2000
22,tail_base_only_both_mice,2,mount,0.7468201090248334,0.6165,0.6754313886606409,2000
22,tail_base_only_both_mice,3,other,0.6273496240601504,0.6675,0.6468023255813954,2000
22,resident_only_full_body,0,attack,0.5793333333333334,0.819811320754717,0.67890625,1060
22,resident_only_full_body,1,investigation,0.47122602168473726,0.565,0.5138699408822192,2000
22,resident_only_full_body,2,mount,0.7976625273922571,0.546,0.6482635796972396,2000
22,resident_only_full_body,3,other,0.683212493028444,0.6125,0.6459267070920116,2000
22,intruder_only_full_body,0,attack,0.5116438356164383,0.7047169811320755,0.5928571428571429,1060
22,intruder_only_full_body,1,investigation,0.4131082423038729,0.624,0.4971121290579566,2000
22,intruder_only_full_body,2,mount,0.842506350550381,0.4975,0.625589437283873,2000
22,intruder_only_full_body,3,other,0.5271816881258942,0.3685,0.43378457916421426,2000
33,full_body_both_mice,0,attack,0.5030120481927711,0.5771889400921659,0.5375536480686696,868
33,full_body_both_mice,1,investigation,0.6840224604389995,0.67,0.6769386208638545,2000
33,full_body_both_mice,2,mount,0.8167381974248927,0.9515,0.8789838337182448,2000
33,full_body_both_mice,3,other,0.9677826910928616,0.766,0.8551493162154619,2000
33,head_neck_both_mice,0,attack,0.4812925170068027,0.652073732718894,0.5538160469667319,868
33,head_neck_both_mice,1,investigation,0.6409287257019438,0.5935,0.6163032191069574,2000
33,head_neck_both_mice,2,mount,0.8247602441150829,0.946,0.8812296227293899,2000
33,head_neck_both_mice,3,other,0.9450194049159121,0.7305,0.8240270727580372,2000
33,head_only_both_mice,0,attack,0.4329054842473746,0.4274193548387097,0.4301449275362319,868
33,head_only_both_mice,1,investigation,0.6446360153256705,0.673,0.6585127201565558,2000
33,head_only_both_mice,2,mount,0.8855072463768116,0.9165,0.9007371007371008,2000
33,head_only_both_mice,3,other,0.8796546141392336,0.815,0.84609395276408,2000
33,no_tail_both_mice,0,attack,0.4239049740163326,0.6578341013824884,0.5155756207674943,868
33,no_tail_both_mice,1,investigation,0.6592338479130933,0.5765,0.6150973592958122,2000
33,no_tail_both_mice,2,mount,0.8371886120996441,0.941,0.8860640301318268,2000
33,no_tail_both_mice,3,other,0.9573490813648294,0.7295,0.8280363223609535,2000
33,trunk_tail_both_mice,0,attack,0.4171974522292994,0.45276497695852536,0.43425414364640885,868
33,trunk_tail_both_mice,1,investigation,0.6795005202913632,0.653,0.6659867414584396,2000
33,trunk_tail_both_mice,2,mount,0.8261261261261261,0.917,0.8691943127962085,2000
33,trunk_tail_both_mice,3,other,0.906390134529148,0.8085,0.8546511627906976,2000
33,hips_tail_both_mice,0,attack,0.46296296296296297,0.48963133640552997,0.47592385218365063,868
33,hips_tail_both_mice,1,investigation,0.7179637214745466,0.6135,0.6616338635750876,2000
33,hips_tail_both_mice,2,mount,0.8033927794693345,0.9235,0.8592695975808328,2000
33,hips_tail_both_mice,3,other,0.878475798146241,0.853,0.8655504819888381,2000
33,hips_only_both_mice,0,attack,0.4305177111716621,0.5460829493087558,0.4814626714068055,868
33,hips_only_both_mice,1,investigation,0.6504757135703555,0.6495,0.6499874906179635,2000
33,hips_only_both_mice,2,mount,0.8399818676337262,0.9265,0.8811222063718498,2000
33,hips_only_both_mice,3,other,0.9539641943734015,0.746,0.8372615039281706,2000
33,neck_only_both_mice,0,attack,0.3775700934579439,0.46543778801843316,0.4169246646026832,868
33,neck_only_both_mice,1,investigation,0.49613811903680144,0.546,0.5198762199476316,2000
33,neck_only_both_mice,2,mount,0.6869965477560415,0.597,0.6388443017656501,2000
33,neck_only_both_mice,3,other,0.771382463690156,0.717,0.743197719616481,2000
33,tail_base_only_both_mice,0,attack,0.36436436436436437,0.41935483870967744,0.3899303695768613,868
33,tail_base_only_both_mice,1,investigation,0.4682854311199207,0.4725,0.47038327526132406,2000
33,tail_base_only_both_mice,2,mount,0.7542003733665215,0.606,0.6720266149154422,2000
33,tail_base_only_both_mice,3,other,0.6212121212121212,0.697,0.6569274269557022,2000
33,resident_only_full_body,0,attack,0.7092198581560284,0.8064516129032258,0.7547169811320755,868
33,resident_only_full_body,1,investigation,0.48619447779111646,0.6075,0.540120026672594,2000
33,resident_only_full_body,2,mount,0.6720496894409937,0.541,0.5994459833795014,2000
33,resident_only_full_body,3,other,0.5671557562076749,0.5025,0.5328738069989396,2000
33,intruder_only_full_body,0,attack,0.4808080808080808,0.5483870967741935,0.5123789020452099,868
33,intruder_only_full_body,1,investigation,0.3359061438715653,0.544,0.41534644016033595,2000
33,intruder_only_full_body,2,mount,0.7138888888888889,0.514,0.5976744186046512,2000
33,intruder_only_full_body,3,other,0.49040867389491244,0.294,0.3676148796498906,2000
