model,region,n_seeds,macro_f1_retention_percent_mean,macro_f1_retention_percent_std,macro_f1_retention_percent_ci95,balanced_accuracy_retention_percent_mean,balanced_accuracy_retention_percent_std,balanced_accuracy_retention_percent_ci95
logistic_regression,full_body_both_mice,5,100.0,7.105427357601002e-15,6.228181683666758e-15,100.0,7.105427357601002e-15,6.228181683666758e-15
logistic_regression,head_neck_both_mice,5,96.51743208391724,1.6851534421929006,1.4771021185103466,96.34987242091496,1.6864062647240603,1.4782002658769657
logistic_regression,head_only_both_mice,5,96.23479009340427,2.727198905311401,2.3904952390522074,96.01611116924252,2.644974370683509,2.3184222567044768
logistic_regression,hips_only_both_mice,5,98.36911124100982,1.5115283392833845,1.3249130056895653,98.17153502319827,1.7510353024760181,1.5348501151966065
logistic_regression,hips_tail_both_mice,5,100.65982823720068,1.3652323598937246,1.1966789258274915,100.53018222711302,1.4059241901814092,1.2323468876991335
logistic_regression,intruder_only_full_body,5,73.63048443177172,3.166271233729815,2.7753591038182206,74.4779392994633,3.6365073829525816,3.187539261913038
logistic_regression,neck_only_both_mice,5,89.39330823109103,5.06061329534424,4.435823131801744,88.8871902399634,5.407379996157515,4.739777546619656
logistic_regression,no_tail_both_mice,5,99.2276501618845,1.2900536744923607,1.1307819026290156,98.98162037194868,1.0666238120253642,0.9349369932425993
logistic_regression,resident_only_full_body,5,74.65961181288188,3.626870240863407,3.179091934423512,75.2647027257689,3.192132006868171,2.7980270709199417
logistic_regression,tail_base_only_both_mice,5,85.55829875536904,2.280703737885371,1.999124969024224,85.47494656148785,2.2262290552410344,1.9513758043936023
logistic_regression,trunk_tail_both_mice,5,99.20250128487308,0.5071941396765933,0.44457526504970324,99.18267779303474,0.680959533355421,0.5968873481516286
random_forest,full_body_both_mice,5,100.0,0.0,0.0,100.0,0.0,0.0
random_forest,head_neck_both_mice,5,95.26327788335789,1.8170326405464308,1.5926993326263217,94.83550936415818,2.1988306168272156,1.927360014251511
random_forest,head_only_both_mice,5,93.88086795755734,2.4376574118089422,2.136700930035109,93.4400903124014,2.8313040971945047,2.481747463109829
random_forest,hips_only_both_mice,5,95.58317973379165,2.3937683707905792,2.0982304893948496,95.65029574436838,2.3527865649491124,2.0623083527435804
random_forest,hips_tail_both_mice,5,98.70151851292344,2.1427418051633556,1.878196003153742,98.91979248235364,2.0760581486572907,1.8197452010909054
random_forest,intruder_only_full_body,5,70.13242170009879,7.507161002240126,6.5803167490653935,72.43403918121359,6.835035873972112,5.99117309839772
random_forest,neck_only_both_mice,5,87.34471335930314,3.8358353005258308,3.3622578851278844,86.95198268649224,4.632320233079085,4.0604077104073015
random_forest,no_tail_both_mice,5,97.93622325763151,0.93033781786196,0.815477052289039,97.70919958788019,1.036350698530557,0.9084014392939371
random_forest,resident_only_full_body,5,74.78608541795045,2.6639844441846976,2.335085320813999,75.26465054338385,3.7650985249479803,3.3002543675570055
random_forest,tail_base_only_both_mice,5,84.31875783905542,2.9450755809602316,2.581472565577491,85.23672593200078,2.7732424092118935,2.430854149672568
random_forest,trunk_tail_both_mice,5,99.17568769408409,0.9138950702431967,0.8010643485353673,99.41328000605387,0.9716957933778384,0.8517289161978271
